23728116	1162	CSCI	39590	XX	-1
23728116	1162	CSCI	43500	XX	-1
23728116	1162	CSCI	49900	XX	-1
23728116	1162	MEDP	39909	XX	-1
23790324	1089	CSCI	12700	B	3
23790324	1089	ENGL	12000	B-	2.7
23790324	1089	MATH	15000	W	-1
23790324	1089	PSYCH	10000	D	1
23790324	1089	SOC	10100	D	1
23790324	1092	CSCI	13500	C	2
23790324	1092	CSCI	13600	A+	4
23790324	1092	POLSC	11000	C	2
23790324	1092	POLSC	11500	C	2
23790324	1092	POLSC	11700	C	2
23790324	1092	STAT	21300	B	3
23790324	1099	CSCI	15000	C	2
23790324	1099	ENGL	22000	NC	-1
23790324	1099	FREN	10100	CR	-1
23790324	1099	POLSC	28200	NC	-1
23790324	1102	AFPRL	24300	C+	2.3
23790324	1102	CSCI	16000	B-	2.7
23790324	1102	MATH	16000	NC	-1
23790324	1102	MUSHL	10700	B+	3.3
23790324	1109	CSCI	23500	C	2
23790324	1109	FILM	10100	F	0
23790324	1109	HIST	34112	D	1
23790324	1109	MATH	15000	F	0
23790324	1112	CSCI	26500	A-	3.7
23790324	1112	CSCI	34000	W	-1
23790324	1112	CSCI	39575	B-	2.7
23790324	1119	CSCI	26000	F	0
23790324	1119	CSCI	35500	C	2
23790324	1119	CSCI	39589	B-	2.7
23790324	1119	CSCI	49372	A	4
23790324	1122	CSCI	18300	A	4
23790324	1122	CSCI	33500	C+	2.3
23790324	1122	CSCI	34000	C	2
23790324	1122	CSCI	36000	B+	3.3
23790324	1122	CSCI	39300	A	4
23790324	1126	ENGL	22000	C	2
23790324	1126	MATH	16000	C	2
23790324	1129	CSCI	18100	A+	4
23790324	1129	CSCI	18200	A+	4
23790324	1129	CSCI	26000	F	0
23790324	1129	CSCI	49900	B	3
23790324	1129	PHILO	20100	C+	2.3
23790324	1132	CSCI	26000	B	3
23790324	1132	MATH	15000	B	3
23790324	1136	MATH	15500	B-	2.7
23790324	1149	SPAN	20800	A	4
23865858	1119	CHEM	 102LC	D	1
23865858	1119	MATH	12500	C	2
23865858	1119	MUSHL	10100	A	4
23865858	1119	PSYCH	10000	A+	4
23865858	1122	CHEM	 104LC	B+	3.3
23865858	1122	CHEM	 106LB	A	4
23865858	1122	ENGL	12000	C	2
23865858	1122	MATH	15000	NC	-1
23865858	1129	AFPRL	20300	B-	2.7
23865858	1129	ANTHC	10100	B-	2.7
23865858	1129	ENGL	22000	B-	2.7
23865858	1129	GEOG	15000	B-	2.7
23865858	1129	HIST	15100	A	4
23865858	1132	AFPRL	10300	D	1
23865858	1132	MATH	15000	B	3
23865858	1132	PSYCH	17000	A	4
23865858	1132	SPAN	10100	C	2
23865858	1139	BIOL	10000	XX	-1
23865858	1139	BIOL	10000	C+	2.3
23865858	1139	BIOL	10000	XX	-1
23865858	1139	HIST	15200	B	3
23865858	1139	HIST	15200	XX	-1
23865858	1139	SPAN	10200	NC	-1
23865858	1139	STAT	21300	C	2
23865858	1142	BIOL	10200	XX	-1
23865858	1142	BIOL	10200	C	2
23865858	1142	BIOL	10200	XX	-1
23865858	1142	CSCI	12700	B+	3.3
23865858	1142	CSCI	15000	W	-1
23865858	1142	MUSHL	21000	B-	2.7
23865858	1149	CHEM	 223LB	B+	3.3
23865858	1149	CHEM	 223RC	xx	-1
23865858	1149	CHEM	22204	C	2
23865858	1149	CHEM	22204	xx	-1
23865858	1149	CSCI	13500	W	-1
23865858	1149	REL	20500	A	4
23865858	1149	SPAN	10200	C	2
23865858	1152	CSCI	13500	C+	2.3
23865858	1152	CSCI	13600	B	3
23865858	1152	CSCI	15000	D	1
23865858	1152	MATH	16000	C+	2.3
23865858	1152	SPAN	20100	C	2
23865858	1159	CSCI	15000	B	3
23865858	1159	CSCI	16000	INC	-1
23865858	1159	MATH	15500	W	-1
23865858	1159	SPAN	20200	B	3
23867925	1109	BLOCK	 100	XX	-1
23867925	1109	CHEM	 100LC	C	2
23867925	1109	CHEM	 101LB	A-	3.7
23867925	1109	ENGL	12000	B+	3.3
23867925	1109	MUSHL	10700	A-	3.7
23867925	1109	PSYCH	10000	C+	2.3
23867925	1109	STAT	11300	A	4
23867925	1112	CHEM	 120LC	B-	2.7
23867925	1112	CHEM	 121LB	B+	3.3
23867925	1112	CLA	11000	A	4
23867925	1112	ENGL	22000	B-	2.7
23867925	1112	HIST	15200	B-	2.7
23867925	1112	PSYCH	15000	C+	2.3
23867925	1119	BIOL	12000	D	1
23867925	1119	MATH	12500	B	3
23867925	1119	PSYCH	17000	A-	3.7
23867925	1119	REL	20800	B-	2.7
23867925	1122	AFPRL	10200	B+	3.3
23867925	1122	BIOL	12200	NC	-1
23867925	1122	BIOL	23000	NC	-1
23867925	1122	CLA	20400	B	3
23867925	1126	CSCI	12700	B	3
23867925	1129	CSCI	13500	B	3
23867925	1129	CSCI	13600	A	4
23867925	1129	MATH	15000	B	3
23867925	1129	MUSHL	21700	C+	2.3
23867925	1129	PSYCH	22000	A-	3.7
23867925	1132	CSCI	15000	D	1
23867925	1132	MATH	16000	D	1
23867925	1132	PSYCH	23500	D	1
23867925	1132	SPAN	10100	A-	3.7
23867925	1139	CSCI	16000	C	2
23867925	1139	CSCI	23500	F	0
23867925	1139	PSYCH	21500	C	2
23867925	1139	SPAN	10200	C+	2.3
23867925	1139	STAT	21300	D	1
23867925	1142	CSCI	15000	C+	2.3
23867925	1142	CSCI	26000	F	0
23867925	1142	CSCI	33500	W	-1
23867925	1142	MATH	15500	F	0
23867925	1142	SPAN	20100	B+	3.3
23867925	1149	CSCI	23500	F	0
23867925	1149	CSCI	26500	F	0
23867925	1149	CSCI	36000	F	0
23867925	1149	SPAN	20200	C	2
23867925	1152	CSCI	23500	NC	-1
23867925	1152	CSCI	26000	F	0
23867925	1152	CSCI	26500	C	2
23867925	1152	MATH	15500	NC	-1
23867925	1159	CSCI	23500	F	0
23867925	1159	MATH	15500	D	1
23867925	1162	CSCI	23500	xx	-1
23867925	1162	CSCI	26000	xx	-1
23905341	1099	ASTRO	10000	B+	3.3
23905341	1099	ASTRO	10700	A	4
23905341	1099	ECO	20000	B-	2.7
23905341	1099	ECO	20100	B-	2.7
23905341	1099	ECO	22100	CR	-1
23905341	1099	ENGL	12000	B	3
23905341	1099	SOC	10100	A	4
23905341	1102	ECO	30000	W	-1
23905341	1102	ECO	30100	W	-1
23905341	1102	ECO	32100	W	-1
23905341	1102	MATH	15000	W	-1
23905341	1102	MATH	16000	W	-1
23905341	1102	MUSPF	22100	B-	2.7
23905341	1102	MUSPF	35300	A-	3.7
23905341	1112	AFPRL	24200	W	-1
23905341	1112	CSCI	12700	B	3
23905341	1112	ENGL	21800	CR	-1
23905341	1112	ENGL	22000	A	4
23905341	1112	MATH	12500	W	-1
23905341	1116	MATH	15000	NC	-1
23905341	1116	STAT	21300	NC	-1
23905341	1119	CSCI	13500	A-	3.7
23905341	1119	CSCI	15000	W	-1
23905341	1119	CSCI	16000	C+	2.3
23905341	1119	MATH	15000	F	0
23905341	1119	MATH	16000	WU	0
23905341	1122	CSCI	15000	C+	2.3
23905341	1122	CSCI	23500	A-	3.7
23905341	1122	CSCI	49366	B-	2.7
